epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,179.604,1.13731,1.3805,1.26792,0.37029,0.32114,0.29014,0.1324,1.12203,2.34555,1.51706,0.000855414,0.000855414,0.000855414
43,183.249,1.11807,1.28851,1.25818,0.35363,0.25448,0.2405,0.12625,1.11975,2.0884,1.55082,0.000844089,0.000844089,0.000844089
44,186.948,1.16079,1.26442,1.20765,0.52539,0.44211,0.38601,0.14863,1.18777,1.63762,1.44933,0.000832611,0.000832611,0.000832611
45,190.775,1.10422,1.23947,1.19907,0.46651,0.39576,0.32439,0.15166,1.08646,1.4833,1.4233,0.000820989,0.000820989,0.000820989
46,194.662,1.11825,1.2127,1.22089,0.47453,0.4241,0.37558,0.17977,1.07717,1.62959,1.46248,0.000809231,0.000809231,0.000809231
47,198.454,1.10162,1.32183,1.23166,0.38368,0.40737,0.33127,0.15121,1.08433,1.72724,1.51326,0.000797345,0.000797345,0.000797345
48,202.269,1.13988,1.34394,1.25296,0.36093,0.38819,0.26714,0.15291,1.07597,1.98501,1.45213,0.000785338,0.000785338,0.000785338
49,206.296,1.14661,1.34139,1.2752,0.36641,0.3488,0.25989,0.11922,1.10922,2.01142,1.46062,0.00077322,0.00077322,0.00077322
50,209.915,1.10309,1.26704,1.23409,0.32817,0.35314,0.22338,0.11464,1.09567,2.0959,1.45961,0.000760998,0.000760998,0.000760998
51,213.552,1.1236,1.27586,1.22505,0.27518,0.36946,0.21609,0.12122,1.11256,2.13114,1.49144,0.000748681,0.000748681,0.000748681
52,217.455,1.08384,1.23789,1.21842,0.38089,0.39514,0.33457,0.1517,1.02682,1.95942,1.42508,0.000736277,0.000736277,0.000736277
53,221.104,1.11006,1.23059,1.18425,0.38685,0.4058,0.33309,0.1522,1.04282,1.83885,1.47513,0.000723796,0.000723796,0.000723796
54,224.783,1.10134,1.18384,1.19969,0.36217,0.38663,0.3195,0.1401,1.09688,2.09033,1.46803,0.000711244,0.000711244,0.000711244
55,228.6,1.09279,1.19621,1.21515,0.34098,0.40162,0.31243,0.14288,1.08493,1.94021,1.40296,0.000698631,0.000698631,0.000698631
56,232.556,1.12645,1.20797,1.2305,0.5724,0.34258,0.35682,0.15999,1.11203,1.7097,1.44842,0.000685966,0.000685966,0.000685966
57,236.258,1.05422,1.19014,1.20174,0.58387,0.33179,0.32162,0.14047,1.22713,1.97466,1.59652,0.000673258,0.000673258,0.000673258
58,239.969,1.03347,1.15913,1.1844,0.56352,0.32788,0.29376,0.1429,1.19143,1.99095,1.54779,0.000660514,0.000660514,0.000660514
59,243.954,1.02143,1.18876,1.2245,0.4239,0.32762,0.28509,0.15275,1.02608,1.78266,1.42928,0.000647744,0.000647744,0.000647744
60,247.72,1.10636,1.17137,1.22741,0.44048,0.28162,0.31513,0.13904,1.09362,1.97272,1.42151,0.000634956,0.000634956,0.000634956
