epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,105.045,1.15721,1.38284,1.28286,0.3917,0.33038,0.29049,0.1212,1.11357,1.68459,1.46141,0.000855414,0.000855414,0.000855414
43,106.849,1.12959,1.32028,1.23698,0.45484,0.30162,0.26793,0.12165,1.17643,1.70382,1.56467,0.000844089,0.000844089,0.000844089
44,108.698,1.19373,1.32997,1.25191,0.29607,0.41657,0.25468,0.11118,1.12988,1.85663,1.5367,0.000832611,0.000832611,0.000832611
45,110.517,1.16862,1.2699,1.21642,0.30769,0.36725,0.26482,0.11016,1.12581,1.78618,1.51927,0.000820989,0.000820989,0.000820989
46,112.334,1.14223,1.25384,1.24654,0.31205,0.34667,0.26503,0.11068,1.13136,1.70197,1.46594,0.000809231,0.000809231,0.000809231
47,114.207,1.17366,1.28477,1.26394,0.42467,0.2781,0.28595,0.12242,1.19373,1.78394,1.48989,0.000797345,0.000797345,0.000797345
48,116.667,1.14501,1.26451,1.26263,0.43836,0.31067,0.29901,0.14142,1.14268,1.56329,1.42877,0.000785338,0.000785338,0.000785338
49,118.594,1.17239,1.30825,1.25992,0.50035,0.2639,0.31342,0.15354,1.05857,1.53168,1.37246,0.00077322,0.00077322,0.00077322
50,120.443,1.1513,1.2374,1.26342,0.35587,0.24765,0.2405,0.13222,1.02921,1.67104,1.32943,0.000760998,0.000760998,0.000760998
51,122.251,1.16099,1.25251,1.25474,0.28646,0.32109,0.25269,0.136,1.05649,1.77152,1.40222,0.000748681,0.000748681,0.000748681
52,124.123,1.11936,1.27152,1.24904,0.22203,0.19364,0.16044,0.08483,1.17077,2.59772,1.55349,0.000736277,0.000736277,0.000736277
53,125.988,1.15964,1.28175,1.219,0.10338,0.28657,0.11951,0.05083,1.15285,3.23403,1.52344,0.000723796,0.000723796,0.000723796
54,128.208,1.12968,1.21533,1.22611,0.09232,0.15,0.10738,0.04644,1.14403,3.92284,1.52379,0.000711244,0.000711244,0.000711244
55,130.346,1.12354,1.23359,1.2518,0.06481,0.2,0.10643,0.04303,1.0697,4.25711,1.49395,0.000698631,0.000698631,0.000698631
56,132.237,1.13843,1.22605,1.2498,0.18023,0.1,0.12145,0.03625,1.1218,4.65485,1.56894,0.000685966,0.000685966,0.000685966
57,134.088,1.08139,1.19205,1.24879,0.09628,0.1,0.10477,0.03775,1.1989,4.56024,1.63447,0.000673258,0.000673258,0.000673258
58,135.923,1.03543,1.17723,1.21775,0.20681,0.14406,0.14767,0.06044,1.21866,3.93168,1.58506,0.000660514,0.000660514,0.000660514
59,137.795,1.04873,1.21765,1.27924,0.18397,0.1483,0.12446,0.0578,1.16928,3.70061,1.51366,0.000647744,0.000647744,0.000647744
60,139.689,1.13143,1.24065,1.26742,0.27384,0.20754,0.13996,0.0767,1.01499,2.20917,1.41253,0.000634956,0.000634956,0.000634956
61,142.125,1.06278,1.10282,1.24017,0.29638,0.23926,0.15778,0.08636,1.03142,1.99845,1.422,0.00062216,0.00062216,0.00062216
62,144.639,1.04577,1.14973,1.25124,0.33398,0.23059,0.17473,0.0905,1.06837,1.78779,1.47534,0.000609364,0.000609364,0.000609364
63,146.499,1.06722,1.08624,1.21489,0.40219,0.25101,0.19819,0.11345,1.1202,1.80141,1.54824,0.000596576,0.000596576,0.000596576
64,148.357,1.08805,1.13098,1.23568,0.23988,0.25509,0.16971,0.09272,1.08564,1.85025,1.52989,0.000583806,0.000583806,0.000583806
65,150.202,1.06369,1.12634,1.20713,0.28161,0.27822,0.21522,0.12946,1.1303,1.60208,1.54685,0.000571062,0.000571062,0.000571062
66,152.077,1.0375,1.09656,1.18612,0.36322,0.31166,0.25286,0.14368,1.0806,1.54039,1.52573,0.000558354,0.000558354,0.000558354
67,154.405,1.05116,1.10707,1.20364,0.3737,0.302,0.25843,0.14756,1.05041,1.56469,1.52375,0.000545689,0.000545689,0.000545689
68,156.529,1.02767,1.03614,1.17603,0.49385,0.31198,0.32429,0.17419,0.93543,1.41289,1.40235,0.000533076,0.000533076,0.000533076
69,158.432,1.06488,1.12144,1.19293,0.49458,0.32357,0.33938,0.18411,0.93482,1.38399,1.36675,0.000520524,0.000520524,0.000520524
70,162.414,1.02641,1.03578,1.17107,0.56862,0.27914,0.31981,0.17825,0.92966,1.35006,1.3318,0.000508043,0.000508043,0.000508043
71,164.298,1.01537,1.01633,1.165,0.40346,0.33854,0.26938,0.15947,0.95392,1.38606,1.3427,0.000495639,0.000495639,0.000495639
